recipe_id,name,ingredients,instructions,sodium_mg,sugar_g,calories,carbs_g,protein_g,fiber_g,fat_total_g,fat_saturated_g,potassium_mg,iron_mg,meal_type,tags,is_diabetic_safe,is_hypertensive_safe,is_cholesterol_safe,image_url
11,Angwamo with Fried Egg,Rice; Oil; Salted beef (Tolo beef); Onion; Egg,Fry onion and salted beef in oil; Add water and rice; Cook till dry; Serve with fried egg and pepper.,780,1.0,418,40.0,15.0,1.5,22.0,6.0,210,1.8,Lunch,Quick-Meal High-Sodium,1,0,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714303/11_cfw96p.jpg
12,Mpoto Mpoto (Mashed Yam),Yam; Palm oil; Onion; Dried Herrings; Pepper,Boil yam with onion and pepper; Mash partially; Add palm oil and herrings; Simmer into thick porridge.,310,5.0,426,70.0,15.0,4.8,9.5,4.5,620,2.2,Lunch,One-Pot Comfort-Food,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714303/12_iqyduc.jpg
13,Hausa Koko and Koose,Millet dough; Ginger; Pepper; Cowpea flour; Oil,Ferment millet dough with spices; Boil into porridge; Deep fry seasoned cowpea batter into balls (koose).,280,12.0,310,40.0,15.0,6.5,10.0,2.5,340,4.1,Breakfast,Traditional Spicy,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714303/13_y91ixb.jpg
14,Roasted Plantain and Peanuts,Ripe Plantain; Roasted Peanuts,Roast plantain over charcoal; Serve with roasted peanuts.,10,18.0,428,60.6,15.0,5.2,14.0,2.0,580,1.2,Snack;Lunch,Street-Food Vegan,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714302/14_oq0e9f.jpg
15,Okro Soup with Banku,Okra; Garden eggs; Banku (Corn/Cassava); Fish; Palm Oil,Chop okra and boil with baking soda (optional); Make soup base with fish and palm oil; Add okra; Serve with Banku.,410,3.0,468,70.6,15.0,6.5,14.0,6.0,500,2.5,Lunch,Diabetic-Friendly High-Fiber,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714302/15_pgo4cf.webp
16,Konkonte and Groundnut Soup,Cassava flour (Dried); Groundnut paste; Chicken; Tomato,Cook dried cassava flour into dark sticky dough (Face the Wall); Serve with rich groundnut soup.,460,4.0,578,40.0,41.4,3.5,28.0,8.0,650,3.0,Lunch;Dinner,Gluten-Free Heavy,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714302/16_zm8xbi.jpg
17,Kelewele (Spicy Fried Plantain),Ripe Plantain; Ginger; Pepper; Spices; Oil,Dice ripe plantain; Marinate in ginger/pepper mix; Deep fry until golden brown.,80,22.0,297,30.8,7.5,4.0,16.0,7.0,400,1.0,Snack,High-Sugar Vegan,0,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714302/17_vh5f8g.png
18,Gari Foto,Gari; Tomato Stew; Eggs; Sardines; Oil,Moisten Gari slightly; Mix with spicy tomato gravy; Add scrambled eggs or sardines.,520,2.0,382,40.0,15.0,3.0,18.0,4.0,300,2.0,Lunch,Quick-Meal Student-Favorite,1,0,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714301/18_j5sm0i.jpg
19,Aprapransa (Palm Nut Corn Mush),Roasted Corn flour; Palm Nut Soup; Crabs; Fish,Mix roasted corn flour into boiling palm nut soup base until thick; Serve with crabs/meat.,380,3.0,598,40.0,15.0,5.5,42.0,22.0,450,4.5,Occasion,High-Saturated-Fat Traditional,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714301/19_ioxsou.jpg
20,Rice Water Porridge,Rice; Water; Evaporated Milk; Sugar,Boil rice until very soft and soupy; Add milk and sugar to taste.,90,16.0,339,60.8,15.0,0.8,4.0,2.5,150,1.0,Breakfast,Light High-Sugar,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714300/20_z2pqgk.jpg
21,Fried Yam with Turkey Tail (Chofi),Pona Yam; Turkey Tail; Pepper Sauce; Oil,Slice and deep fry yam; Fry seasoned turkey tail (fatty meat); Serve with hot pepper.,210,2.0,691,79.0,15.0,4.5,35.0,14.0,600,1.5,Lunch;Street-Food,High-Fat High-Calorie,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714301/21_kqgi3g.jpg
22,Palava Sauce with Boiled Yam,Cocoyam leaves; Melon seeds (Agushi); Palm oil; Yam; Smoked fish,Boil yam until soft; Sauté agushi and onions in palm oil; Add chopped cocoyam leaves (kontomire); Simmer.,340,4.0,481,64.7,15.0,9.5,18.0,8.0,800,6.2,Lunch,High-Iron Vitamin-Rich,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714300/22_qpvazk.jpg
23,Light Soup with Fresh Fish,Garden eggs; Tomatoes; Fresh Tilapia; Onion; Pepper,Boil vegetables and blend into light broth; Simmer with fresh fish (no oil added); Season with spices.,280,3.0,330,40.0,32.3,2.5,4.5,1.2,550,1.8,Lunch;Dinner,Low-Fat Heart-Healthy,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714297/23_fsw8vz.jpg
24,Bulgur Wheat Jollof,Bulgur wheat; Tomato stew; Chicken breast; Vegetables,Prepare tomato stew base with minimal oil; Add bulgur wheat and water; Cook until fluffy; Serve with lean chicken.,420,2.5,301,40.0,15.0,8.0,9.0,2.0,380,3.2,Lunch,Diabetic-Friendly High-Fiber,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714298/24_nkvoig.png
25,Aboboi (Bambara Beans) with Tatale,Bambara beans; Ripe plantain; Ginger; Sugar; Corn flour,Boil bambara beans until soft (add sugar); Mash ripe plantain with spices and fry into pancakes (tatale).,120,28.0,465,40.0,44.7,12.0,14.0,3.0,900,4.5,Lunch,High-Sugar High-Fiber,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714296/25_tk1anw.jpg
26,Fried Rice (Ghana Style),Rice; Soy sauce; Oil; Eggs; Sausage; Vegetables,Stir-fry cold rice with soy sauce veggies and chopped meat; Add scrambled eggs.,850,2.0,462,60.0,15.0,2.5,18.0,5.0,220,2.0,Lunch,High-Sodium Party-Food,1,0,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714296/26_gqcua7.jpg
27,Tom Brown Porridge,Roasted corn flour; Groundnuts; Milk; Sugar,Roast corn and groundnuts until brown; Mill into powder; Boil into thick porridge; Add milk/sugar.,110,14.0,328,40.0,15.0,5.5,12.0,3.5,400,3.1,Breakfast,Energy-Dense Child-Friendly,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714296/27_pgyzce.jpg
28,Sobolo (Hibiscus Drink),Hibiscus leaves; Ginger; Pineapple; Sugar; Cloves,Boil hibiscus leaves with spices and pineapple skin; Strain; Add sugar (lots) and cool.,10,35.0,220,40.0,15.0,0.0,0.0,0.0,50,1.5,Drink,High-Sugar Vitamin-C,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714295/28_wvkgcw.jpg
29,Bofrot (Puff Puff),Flour; Sugar; Yeast; Oil; Nutmeg,Mix flour batter with sugar and yeast; Let rise; Deep fry balls in hot oil.,150,25.0,308,20.0,7.5,1.5,22.0,9.0,80,1.0,Snack,High-Calorie High-Sugar,0,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714295/29_hwntjl.jpg
30,Gari Soakings,Gari; Evaporated milk; Sugar; Groundnuts,"Mix gari with cold water; Add milk, sugar, and roasted groundnuts; Eat immediately.",80,28.0,200,20.0,7.5,3.5,10.0,4.0,320,1.5,Snack,Quick-Meal High-Sugar,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714295/30_cb4cmh.jpg
31,3to (Mashed Plantain),Semi-ripe plantain; Palm oil; Boiled egg; Pepper,Boil plantain and mash; Mix with hot palm oil and onions; Serve with boiled eggs.,150,15.0,530,63.4,15.0,4.5,24.0,11.0,600,2.0,Lunch,Traditional High-Fat,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714294/31_shs5dc.jpg
32,Kyinkyinga (Beef Kebab),Beef strips; Suya spice (Kuli-kuli powder); Oil,Coat beef in spicy peanut powder; Skewer and grill over open fire; Brush with oil.,620,1.0,268,20.0,13.3,2.5,15.0,6.0,450,4.2,Snack,High-Protein High-Sodium,1,0,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714294/32_iyjr9w.jpg
33,Kosua ne Meko (Egg and Pepper),Boiled Egg; Tomato; Onion; Pepper,"Hard boil egg; Grind fresh pepper, tomato, and onion; Slit egg and stuff with sauce.",80,1.5,155,20.0,7.5,1.0,5.0,1.5,150,1.2,Snack,Low-Carb Keto-Friendly,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714295/33_omqbhs.jpg
34,Tubani (Steamed Bean Pudding),Bean flour (Black-eyed pea); Shea butter; Pepper,Whip bean flour mixture; Wrap in leaves and steam; Serve with shea butter and pepper dip.,50,1.0,292,40.0,15.0,8.5,8.0,3.5,500,4.8,Lunch,Diabetic-Friendly Gluten-Free,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714295/34_poqpls.jpg
35,Nkate Cake (Peanut Brittle),Roasted groundnuts; Sugar,Melt sugar until caramelized; Stir in roasted peanuts; Flatten and cut into bars.,10,24.0,272,20.0,7.5,3.0,18.0,3.0,300,1.8,Snack,High-Sugar Energy-Bar,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714294/35_djdhjm.jpg
36,Oblayo (Corn Grits Porridge),Corn grits; Milk; Sugar,Boil corn grits until soft; Serve with milk and sugar.,40,12.0,242,40.0,15.0,2.0,2.5,1.0,100,0.8,Breakfast,Light-Meal,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714294/36_flz0hd.jpg
37,Ghanaian Salad,Lettuce; Eggs; Baked beans; Corned beef; Mayo,Toss fresh vegetables with baked beans and corned beef; Dress generously with mayonnaise.,680,6.0,445,40.0,15.0,4.5,25.0,7.0,400,2.5,Lunch,High-Fat High-Sodium,1,0,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/37_frwqow.jpg
38,Fruit Salad,Pawpaw; Pineapple; Watermelon; Banana,Dice fresh fruits; Mix and chill.,5,18.0,112,20.0,7.5,4.0,0.2,0.0,450,0.5,Snack,Healthy Vitamin-Rich,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/38_te4cw0.jpg
39,Grilled Tilapia (Lite),Fresh Tilapia; Ginger; Garlic; Natural Spices,Marinate fish in natural spices (no salt); Grill without oil.,70,0.0,330,40.0,32.5,0.0,4.5,1.0,380,0.9,Dinner,Hypertension-Safe Low-Fat,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714292/39_v89ydb.jpg
40,Wrewre Soup with Fufu,Melon seeds (Wrewre); Fufu; Chicken; Ginger,Roast and blend melon seeds; Simmer into soup base; Serve with Fufu.,350,3.0,580,85.0,15.0,5.0,20.0,6.0,550,3.5,Lunch,Traditional Nutty,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/40_hsoyou.jpg
41,Kulikuli (Peanut Rings),Groundnut paste; Spices; Oil,Extract oil from paste; Mix with spices; Deep fry crunchy rings.,120,2.0,335,20.0,7.5,4.5,25.0,5.0,400,2.8,Snack,High-Protein Gluten-Free,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/41_cwxvct.jpg
42,Atadwe Milk (Tiger Nut Pudding),Tiger nuts; Rice flour; Sugar; Evaporated milk,Blend tiger nuts to extract milk; Cook with rice flour and sugar into pudding.,40,14.0,328,40.0,15.0,6.0,12.0,4.0,350,2.0,Dessert,High-Fiber Rich,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/42_i6kmyu.jpg
43,Assana (Corn Drink),Crushed corn; Sugar; Milk,Ferment corn; Boil until caramelized/brown; Serve cold with milk.,20,26.0,247,40.0,15.0,1.5,3.0,1.5,150,0.5,Drink,High-Sugar Refreshing,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714292/43_cffimq.jpg
44,Yele Kakro (Fried Yam Balls),Yam; Onion; Pepper; Oil,Mash boiled yam with spices; Form balls; Deep fry until golden.,220,2.0,337,40.8,7.5,3.5,16.0,6.0,400,1.2,Snack,High-Fat Crispy,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714293/44_pdyjdx.webp
45,Kokonte with Palm Nut Soup,Cassava flour (Kokonte); Palm nut soup; Goat meat,Cook kokonte dough; Serve with rich palm nut soup.,410,3.0,710,77.1,15.0,6.0,38.0,19.0,600,4.0,Lunch,High-Saturated-Fat Diabetic-Option,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714292/45_mr3rh3.jpg
46,Rice Balls and Groundnut Soup,Rice; Groundnut paste; Chicken,Boil rice soft and mash; Serve with spicy peanut soup.,450,4.0,628,68.7,29.9,3.0,26.0,7.0,580,3.2,Sunday-Special,High-Calorie Comfort-Food,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714292/46_g09phi.jpg
47,Fante Kenkey and Fish,Corn dough; Plantain leaves; Fried fish,Steam corn dough in plantain leaves (sour); Serve with fried fish.,420,1.0,591,63.8,43.4,4.5,18.0,6.0,400,2.2,Dinner,Fermented Probiotic,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714312/47_rzq1qs.jpg
48,Plantain Chips,Unripe plantain; Oil; Salt,Slice unripe plantain thinly; Deep fry; Salt lightly.,250,2.0,308,37.9,7.5,3.0,14.0,6.0,450,0.8,Snack,Crunchy Salty,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714312/48_hciir5.jpg
49,Fried Gizzard (Spicy),Chicken gizzards; Pepper; Onion; Oil,Boil gizzards; Sauté in spicy pepper sauce.,300,0.0,218,20.0,7.5,1.0,12.0,3.5,200,3.5,Snack,High-Protein Chewy,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714312/49_klm8gc.jpg
50,Brukina (Millet & Milk),Millet; Yoghurt/Milk; Sugar,Steam millet grains; Mix with sweetened fermented milk.,60,18.0,274,40.0,15.0,5.5,6.0,3.0,300,2.5,Snack;Breakfast,Probiotic High-Fiber,0,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714309/50_szseop.jpg
